Part Name,Barcode,QC Procedure 1,QC Procedure 2
CABLE CONTAINMENT BRACKET,40000yyy002x,Confirm Squareness,Confirm Bend Location
STAINLESS PD MOUNT ANGLE,40000yyy013x,Confirm Squareness,Confirm Bend Location
SS MOUNT PLATE,40000yyy028x,Test Thread Fasteners,
BULKHEAD G10 PLATE,,Measure Hirose Cutout Diameter,
G10 MOUNT PLATE, 40000yyy027x,Confirm M6 Countersink Head Clear,Test Thread Fasteners
